| tts_models/en/ljspeech/tacotron2-DDC_ph | vocoder_models/en/ljspeech/multiband-melgan | 13s | 
| tts_models/en/ljspeech/tacotron2-DDC_ph | vocoder_models/en/ek1/wavegrad | 49s | 
| tts_models/en/ljspeech/tacotron2-DDC_ph | vocoder_models/en/blizzard2013/hifigan_v2 | 20s | 
| tts_models/en/ljspeech/tacotron2-DDC_ph | vocoder_models/en/vctk/hifigan_v2 | 13s | 
| tts_models/en/ljspeech/tacotron2-DDC_ph | vocoder_models/en/sam/hifigan_v2 | 19s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/ljspeech/univnet | 14s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/ljspeech/hifigan_v2 | 12s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/ljspeech/multiband-melgan | 12s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/ek1/wavegrad | 39s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/blizzard2013/hifigan_v2 | 13s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/vctk/hifigan_v2 | 12s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/sam/hifigan_v2 | 14s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/ljspeech/univnet | 15s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/ljspeech/hifigan_v2 | 12s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/ljspeech/multiband-melgan | 12s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/ek1/wavegrad | 42s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/blizzard2013/hifigan_v2 | 13s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/vctk/hifigan_v2 | 12s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/sam/hifigan_v2 | 14s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/ljspeech/univnet | 462s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/ljspeech/hifigan_v2 | 465s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/ljspeech/multiband-melgan | 470s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/ek1/wavegrad | 494s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/blizzard2013/hifigan_v2 | 452s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/vctk/hifigan_v2 | 438s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/sam/hifigan_v2 | 485s | 
| tts_models/en/jenny/jenny | vocoder_models/en/ljspeech/univnet | 16s | 
| tts_models/en/jenny/jenny | vocoder_models/en/ljspeech/hifigan_v2 | 14s | 
| tts_models/en/jenny/jenny | vocoder_models/en/ljspeech/multiband-melgan | 13s | 
| tts_models/en/jenny/jenny | vocoder_models/en/ek1/wavegrad | 13s | 
| tts_models/en/jenny/jenny | vocoder_models/en/blizzard2013/hifigan_v2 | 14s | 
| tts_models/en/jenny/jenny | vocoder_models/en/vctk/hifigan_v2 | 13s | 
| tts_models/en/jenny/jenny | vocoder_models/en/sam/hifigan_v2 | 15s | 
