| tts_models/en/ljspeech/neural_hmm | vocoder_models/en/ljspeech/multiband-melgan | 16s | 
| tts_models/en/ljspeech/neural_hmm | vocoder_models/en/ek1/wavegrad | 1709s | 
| tts_models/en/ljspeech/neural_hmm | vocoder_models/en/blizzard2013/hifigan_v2 | 21s | 
| tts_models/en/ljspeech/neural_hmm | vocoder_models/en/vctk/hifigan_v2 | 18s | 
| tts_models/en/ljspeech/neural_hmm | vocoder_models/en/sam/hifigan_v2 | 33s | 
| tts_models/en/ljspeech/tacotron2-DDC_ph | vocoder_models/en/ljspeech/univnet | 22s | 
| tts_models/en/ljspeech/tacotron2-DDC_ph | vocoder_models/en/ljspeech/hifigan_v2 | 17s | 
| tts_models/en/ljspeech/tacotron2-DDC_ph | vocoder_models/en/ljspeech/multiband-melgan | 17s | 
| tts_models/en/ljspeech/tacotron2-DDC_ph | vocoder_models/en/ek1/wavegrad | 991s | 
| tts_models/en/ljspeech/tacotron2-DDC_ph | vocoder_models/en/blizzard2013/hifigan_v2 | 17s | 
| tts_models/en/ljspeech/tacotron2-DDC_ph | vocoder_models/en/vctk/hifigan_v2 | 17s | 
| tts_models/en/ljspeech/tacotron2-DDC_ph | vocoder_models/en/sam/hifigan_v2 | 24s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/ljspeech/univnet | 23s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/ljspeech/hifigan_v2 | 19s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/ljspeech/multiband-melgan | 20s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/ek1/wavegrad | 931s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/blizzard2013/hifigan_v2 | 23s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/vctk/hifigan_v2 | 20s | 
| tts_models/en/blizzard2013/capacitron-t2-c50 | vocoder_models/en/sam/hifigan_v2 | 29s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/ljspeech/univnet | 25s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/ljspeech/hifigan_v2 | 18s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/ljspeech/multiband-melgan | 19s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/ek1/wavegrad | 893s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/blizzard2013/hifigan_v2 | 21s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/vctk/hifigan_v2 | 19s | 
| tts_models/en/blizzard2013/capacitron-t2-c150_v2 | vocoder_models/en/sam/hifigan_v2 | 27s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/ljspeech/univnet | 448s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/ljspeech/hifigan_v2 | 448s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/ljspeech/multiband-melgan | 463s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/ek1/wavegrad | 443s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/blizzard2013/hifigan_v2 | 510s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/vctk/hifigan_v2 | 451s | 
| tts_models/en/multi-dataset/tortoise-v2 | vocoder_models/en/sam/hifigan_v2 | 442s | 
| tts_models/en/jenny/jenny | vocoder_models/en/ljspeech/univnet | 62s | 
| tts_models/en/jenny/jenny | vocoder_models/en/ljspeech/hifigan_v2 | 56s | 
| tts_models/en/jenny/jenny | vocoder_models/en/ljspeech/multiband-melgan | 46s | 
| tts_models/en/jenny/jenny | vocoder_models/en/ek1/wavegrad | 47s | 
| tts_models/en/jenny/jenny | vocoder_models/en/blizzard2013/hifigan_v2 | 45s | 
| tts_models/en/jenny/jenny | vocoder_models/en/vctk/hifigan_v2 | 47s | 
| tts_models/en/jenny/jenny | vocoder_models/en/sam/hifigan_v2 | 40s |  
